talemaade_udtryk	A	B	C	D
ikke kunne stikke en pind i en lort uden at ødelægge begge dele	bruges for at udtrykke en almenmenneskelig tendens til at fremhæve én simpel og afgrænset årsagssammenhæng som forklaring på noget	være fummelfingret eller upraktisk anlagt	præstere under et forventet niveau	ikke være i stand til at placere en pind i en hundelort uden både pind og hundelort går i stykker
blive taget med fingrene i kagedåsen	befinde sig i en ufordelagtig eller problematisk situation hvor man føler sig magtesløs	blive overrasket eller afsløret i at gøre noget ulovligt eller umoralsk	være meget tiltrængt og velkommen	blive opdaget i at være i færd med at stjæle kager fra en kagedåse
komme fra et hjem med klaver	komme fra et (velstillet) hjem med kulturelle interesser	være vokset op i et hjem hvor den ene eller begge forældre spillede klaver	slå nogen ihjel	ofte komme for sent til aftaler fordi man er (for) optaget af en kreativ aktivitet
rydde noget af vejen	fjerne noget fra en vej	transportere noget hurtigt fra et sted til et andet, fx varer eller gods	fjerne eller overvinde et problem, en hindring eller lignende	nogen snakker hele tiden
stikke hovederne sammen	placere sine hoveder tæt ved hinanden	forsøge at blive enige igen efter en diskussion eller et skænderi	lægge planer i hemmelighed eller fortrolighed; hviske (bag nogens ryg); træffe aftaler	en andel af noget fordelagtigt, især et økonomisk udbytte
have gelé i knæene	blive ødelagt, nedlagt, opsplittet, hængt ud i pressen eller lignende	være i en ekstrem situation fysisk eller psykisk pga. fx overanstrengelse, nervøsitet eller forventning	bevæge sig på et blødt og fjedrende underlag så det føles behageligt for kroppen, fx i forbindelse med konkurrenceløb	have indlagt gelé i knæene
have et ben i hver lejr	være i tvivl; vakle mellem to modsatrettede holdninger	placere sig ved et grænseskel på en campingplads således at fødderne befinder sig i hver sin lejr	være lidt beruset	have sympati eller interessefællesskab med begge (eller alle) de uenige parter
være en flue på væggen	være en flue der sidder på en væg	være ligegyldig i en større sammenhæng	diskret eller ubemærket overvære noget	bringe en (ubehagelig) sag til afslutning eller ud af verden; undlade at gøre mere ved det
krumme et hår på nogens hoved	krølle eller bøje et hårstrå der sidder fast på nogens hovedbund	råbe nogen an fra en længere distance	helhed bestående af indbyrdes meget forskelligartede elementer	gøre nogen fortræd; genere nogen
gå på med krum hals	ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave	bruges for at udtrykke at man ikke tror på det samtalepartneren siger, fordi det er for usandsynligt eller løgnagtigt	gå rundt mens man krummer halsen og bøjer hovedet fremover	ikke gøre sig så umage som det ellers er påkrævet
en bid af kagen	en bid af et stykke kage	en tiltrængt pause, fx i løbet af en arbejdsdag	en andel af noget fordelagtigt, især et økonomisk udbytte	meget eller overdrevent nervøs eller utryg
der er mere mellem himmel og jord	fare omkring; være meget foretagsom	man skal ikke afvise det tilsyneladende uforklarlige blot fordi man ikke kan fatte det med sin begrænsede forstand	man skal ikke altid gå med sin første indskydelse	i rummet mellem himmel og jordoverflade eksisterer flere ting end først antaget
det tager en krig	noget er svært og ulykkeligt	det tager meget lang tid	noget tager lige så lang tid som længden på en specifik krig	det er menneskets natur at bevare optimismen og se det positive
det er ikke mit bord	det er ikke mit område eller ansvar	bruges om et bord som ikke ejes af den talende	med anvendelse af vold eller anden streng behandling af andre	bruges for at udtrykke at det ikke er noget man bryder sig om
ligne noget katten har slæbt ind	have et udseende tilsvarende noget en kat kunne bringe ind i et hus	være blevet udsat for vold	se forfærdelig ud	udføre en handling når muligheden for et vellykket resultat er til stede
stikke noget under stolen	være meget klodset; være fummelfingret	stille noget under en stol	placere noget et sted, fx i sin bukselomme	skjule, hemmeligholde eller fortie noget
være godt skåret for tungebåndet	være uudholdeligt fordi man er træt af det	med succes (og af medicinske grunde) have fået tungebåndet klippet	have gode talegaver; kunne tale godt for sig	være god til at spise -- om et lille barn
have fået det forkerte ben ud af sengen	have fået benene ud af sengen i den forkerte rækkefølge	dristige, frejdige mennesker er ofte også heldige	være i dårligt humør lige fra morgenstunden	vågne op ved siden af en anden end man forventede
en strid om kejserens skæg	en strid som ingen ved hvad handler om	uenighed om hvorvidt kejsere (eller andre statsoverhoveder) bør have skæg	(fremragende) fuldendelse af en opgave	en strid om et spørgsmål der er ligegyldigt eller ikke kan afgøres
i den bedste af alle verdener	i en tilstand af fuldstændig tilfredshed	gøre uenige parter mere forsonlige	i en (tænkt) situation hvor alle afgørende forhold er så gode som de kan blive	i den verden der er bedre end andre
koge suppe på noget	lave en (sladder)historie ud af noget småt eller betydningsløst	vedblivende og trættende behandle et velkendt og udtømt emne	ikke være skånsom eller tilbageholdende, men direkte i ord eller handling	lave suppe
bringe frem i lyset	forårsage at en person bliver i godt humør	bringe fremad hvor der er lys	bruges når to personer har fået den samme tanke eller idé	blive/gøre synlig for offentligheden
ballonen revner	have meget gode chancer; være i en meget fordelagtig situation	en festlig begivenhed går i gang	der går hul på en ballon	en illusion brister; noget går galt
bagsiden af medaljen	den side af en medalje som ikke er forsiden	den negative side af noget positivt	præge noget; være mærkbar	den forberedende (og svære) indsats der er nødvendig for at man kan vinde
have benzin i blodet	ikke være rammende i sine udtalelser; overdrive	være i stand til at løbe meget hurtigt	være glad for motorkøretøjer og for at køre (stærkt) i dem	have benzin iblandet sit blod
danse på vulkaner	udføre en rituel dans i et område med stor vulkansk aktivitet for at mildne guderne -- om historiske forhold i Island	danse på bordene	leve sorgløst selvom der er stor risiko for at noget går galt; optræde letsindigt	gøre en ekstra indsats for at noget skal lykkes; bruge alle forhåndenværende midler
stoppe mens legen er god	holde op med at lege mens legen er underholdende for alle involverede	holde op mens man stadig har succes, inden det går galt	når noget går galt, kan man forvente at endnu mere går galt	gå i seng i fornuftig tid
det haster ikke mere end det jager	det kan ikke betale at være den eneste der har travlt	indtil der ikke er mere liv	man kan tage det roligt; man behøver ikke at skynde sig så meget	man skal kun skynde sig hvis det er nødvendigt
til sidste blodsdråbe	til der ikke er mere tilgængeligt blod	indtil der ikke er mere liv	det er nytteløst at forsøge at nå til enighed om noget der grundlæggende er et spørgsmål om hvad den enkelte foretrækker	til der ikke er mere batteri
vide hvad klokken er	vide at noget alvorligt eller afgørende er sket; vide hvordan noget vil ende eller udvikle sig	være klar over hvad tid på døgnet det er	have husket alt det man skal huske	opnå to mål eller fordele med en enkelt handling
have en ræv bag øret	være snu og udspekuleret	ikke tænke dybere over noget; ikke bruge sin fornuft, men handle instinktivt	bære en tatovering af en ræv bag sit venstre øre som tegn på medlemskab af foreningen 'Dyrenes befrielsesfront'	have et iltert temperament
have ild i enden	tilbage til en oprindelig tilstand eller situation; tilbage til de (gode og enkle) egenskaber som noget oprindeligt havde	fare omkring; være meget foretagsom	være i en overdrevent begejstret eller opstemt, evt. overspændt sindstilstand	brænde i den ene ende
ikke alt der glimter, er guld	vi skal alle dø	blot fordi noget glimter, er det ikke ensbetydende med at det er fremstillet af guld	det er ikke alle der ønsker at det skal gå godt for den omtalte person	blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det
en møllesten om halsen på nogen	en person med stor viden, ofte inden for mange områder	en halskæde med en kostbar ædelsten	en halskæde med en (lille) møllesten	en byrde eller belastning for nogen
give sorteper videre	lytte spændt, opmærksomt og ofte hengivent til nogen	give en joint videre	lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden	give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med
have rent mel i posen	ikke have andet end mel i posen	ikke have noget at skjule; være uskyldig	intet er så godt eller smukt at det er helt fri for fejl eller ulemper	have gode intentioner; være positivt indstillet
få så hatten passer	få den ønskede mængde af noget	få tilpasset sin hat så den sidder godt på hovedet	få noget i rigelig mængde, fx kritik, skældud eller alkohol	der er altid omkostninger eller tab forbundet med at foretage sig noget
råbe vagt i gevær	pifte eller råbe for at få en gruppe mennesker til at være stille	i et øde område fjernt fra større byer	råbe advarende ordrer til en militærstyrke	advare mod en bestemt, farlig eller uheldig udvikling
bide i det sure æble	modvilligt gøre noget ubehageligt	spise et umodent æble	gå på slankekur	teatralsk eller hyklerisk optræden, især for at behage nogen
koge suppe på en pølsepind	(forsøge at) lave suppe ud af meget lidt	beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne	blive meget forbavset eller benovet over noget	lave velsmagende mad ud af få, simple ingredienser
være på trapperne	være uden løsning fordi løsningen uundgåeligt vil afføde et andet (nært beslægtet) problem	løbe op og ned ad trapper som motionsform	være nært forestående; snart komme	dyrke step som motionsform
så slutter festen	pleje sine egne interesser uden at tage hensyn til andre; kun tænke på sig selv	på dette tidspunkt er det positive eller glædelige forbi	nu er tidspunktet kommet hvor festen er forbi	nu bliver man nødt til at gå til bekendelse
hænge i bremsen	sidde fast i en bremse, fx håndbremsen på en cykel	ikke være så hurtig eller effektiv som normalt eller forventet	køre særligt forsigtigt i bil eller på cykel	blive synlig; vise sin personlighed for omverdenen
stikke næsen i sky	rette næsen opad mod himlen	optræde overlegent	handlekraftige, (dum)dristige mennesker er ofte også heldige	sætte sig høje mål; have høje ambitioner
have en aktie i	afvise fuldstændig	være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt	eje en andel af en virksomhed	være aktiv deltager i; have indflydelse på
træde op på den store klinge	komme i håndgemæng eller slåskamp med	skifte til højeste gear	afslutte en faglig uddannelse; blive færdiguddannet, især som håndværker	anstrenge sig; arbejde hårdt
apostlenes heste	heste som apostlene red på	bruges i udtryk for at arbejde hårdt	hellere se én gå end komme eller blive; helst være fri for éns selskab	benene, brugt til at gå på
